country,name,full_name,tag,isin,id,currency,symbol
brazil,CCX CARVAO ON,CCX Carvao da Colombia SA,ccx-carvao-da-colombia-sa,BRCCXCACNOR5,40427,BRL,CCXC3
brazil,CESP ON,Cia Energetica de Sao Paulo,cesp-on-n1,BRCESPACNOR3,40428,BRL,CESP3
brazil,GRAZZIOTIN ON,Grazziotin SA,grazziotin-sa,BRCGRAACNOR2,40429,BRL,CGRA3
brazil,CELESC PN,Celesc SA,celesc-sa,BRCLSCACNPR3,40430,BRL,CLSC4
brazil,COELCE ON,Cia Energetica do Ceara,coelce-on,BRCOCEACNOR0,40431,BRL,COCE3
brazil,Taurus Armas ON,Taurus Armas ON,forjas-taurus-sa,BRTASAACNOR7,40432,BRL,TASA3
brazil,Cogna Educacao,Cogna Educacao,kroton-on-nm,BRCOGNACNOR2,40433,BRL,COGN3
brazil,LOCAMERICA ON NM,Cia de Locacao das Americas,companhia-de-locacao-das-americas,BRLCAMACNOR3,40434,BRL,LCAM3
brazil,RAIADROGASIL ON,Raia Drogasil SA,raiadrogasil-on-nm,BRRADLACNOR0,40436,BRL,RADL3
brazil,UNICASA ON,UNICASA Industria de Moveis SA,unicasa-industria-de-moveis,BRUCASACNOR1,40437,BRL,UCAS3
brazil,Alupar Invest Unit,Alupar Investimento SA Unit,alupar-unt,BRALUPCDAM15,50506,BRL,ALUP11
brazil,Anima ON,Anima ON,anima-on,BRANIMACNOR6,50507,BRL,ANIM3
brazil,BBSEGURIDADE ON NM,BB Seguridade Participacoes SA,bbseguridad,BRBBSEACNOR5,50509,BRL,BBSE3
brazil,Biosev ON,Biosev ON,biosev-on,BRBSEVACNOR3,50510,BRL,BSEV3
brazil,CPFL RENOVAVON NM,Cpfl Renovav ON,cpfl-renovav-on,BRCPREACNOR5,50511,BRL,CPRE3
brazil,CVC BRASIL ON NM,Cvc Brasil ON,cvc-brasil-on,BRCVCBACNOR1,50513,BRL,CVCB3
brazil,LINX ON NM,Linx ON,linx-on,BRLINXACNOR0,50514,BRL,LINX3
brazil,Ser Educa ON,Ser Educa ON,ser-educa-on,BRSEERACNOR5,50515,BRL,SEER3
